CVEGEO,unidades
0901100011395,1
0901100011484,1
0901100010132,1
0900700013115,1
0901100211022,1
090110021115A,1
090110026097A,1
0900700013100,1
0900700013083,1
0901100010927,1
0901100010679,1
0901100010664,1
0901100010575,1
0900700013346,1
0901100010448,1
0901100010414,1
090110001040A,1
0901100010378,1
0901100010363,1
0901100010289,1
0901100010274,1
0901100010255,1
0901100010240,1
0901100010217,1
0901100010202,1
0901100010166,1
0901300010090,1
0900700011250,1
0900700011227,1
0900500013163,1
0900700015198,1
0900700014452,1
0900600010024,1
0900500013445,1
0901000010811,1
0900500013252,1
0900500013159,1
0901000010864,1
0900500013125,1
0901500010023,1
0901500010042,1
0901500010076,1
0900500013089,1
0901500010095,1
0901000010845,1
090060001033A,1
090100001103A,1
0900600010698,1
0900600010895,1
0900600010880,1
0900600010791,1
0900600010772,1
0900600010734,1
0900600010700,1
0900600010679,1
0900600010378,1
0900600010664,1
0900600010630,1
090060001058A,1
0900700015183,1
0901000010915,1
0900600010429,1
0900500013055,1
090050001295A,1
090070001522A,1
0900500012201,1
0900500012428,1
0900500012362,1
0901000010629,1
0900500012305,1
0900500012235,1
0900500012216,1
0900500012199,1
0901500010273,1
0900700015287,1
0900700015431,1
0900500012146,1
0900200010025,1
0900500012108,1
0901000010493,1
0900500012432,1
0900500012466,1
0900500012610,1
0900500012625,1
090050001263A,1
0900500012729,1
0900500012752,1
0900500012786,1
0900500012822,1
0900500012837,1
0901500010451,1
0901500010432,1
0901500010409,1
0901500010381,1
0901500010343,1
0901500010339,1
0901500010324,1
0900600010908,1
090140001051A,1
0900600010950,1
0901300011169,1
0901300011050,1
0900700011015,1
0901300011084,1
0901300011135,1
090130001114A,1
0901300011154,1
0901300011192,1
0901300011440,1
0900700010943,1
090070001091A,1
0901300011296,1
0901300011313,1
0901300011328,1
0900700010905,1
0901300011027,1
0901300010917,1
0901300010692,1
0901300010601,1
0900700011034,1
0901300010508,1
0901300010423,1
0901300010404,1
0901300010387,1
0901300010372,1
0901300010368,1
0901300010353,1
090130001032A,1
0901300010298,1
0901300010283,1
0900700011104,1
0900700011142,1
0900700010854,1
0901300011525,1
090060001097A,1
0900600011179,1
0900700010197,1
0900700015145,1
0900700010110,1
0900700010106,1
0900700010040,1
0900700010021,1
090060001115A,1
090070001084A,1
0900600011130,1
0900600011126,1
0900800010226,1
0900600011060,1
0900600011037,1
0901400010473,1
0900700010214,1
0900700010248,1
0900700010322,1
0900700010360,1
0900700015075,1
0900700010411,1
0900700010445,1
0901400010172,1
0900700010534,1
0900700015037,1
0900700010619,1
0901000011025,1
0900700010708,1
0900700010731,1
0900700010750,1
0900700010816,1
0900700010835,1
0900800010245,1
