CVE,x,y,poblacion
00150041,15,41,1
00150048,15,48,1
00330014,33,14,1
00370013,37,13,1
00420033,42,33,1
00290014,29,14,1
00210022,21,22,1
00050018,5,18,1
00320032,32,32,1
00460039,46,39,1
00410020,41,20,1
00020008,2,8,1
00410021,41,21,0
00430006,43,6,1
00030018,3,18,1
00270004,27,4,1
00040027,4,27,1
00150026,15,26,1
00410048,41,48,1
00020047,2,47,1
00170010,17,10,1
00420029,42,29,1
00440046,44,46,1
00490029,49,29,1
00320028,32,28,1
00490043,49,43,1
00280030,28,30,1
00470039,47,39,1
00240033,24,33,1
00110041,11,41,0
00400003,40,3,1
00110023,11,23,1
00470001,47,1,1
00270037,27,37,1
00350006,35,6,1
00000037,0,37,1
00210049,21,49,1
00060020,6,20,1
00230001,23,1,1
00200038,20,38,1
00230036,23,36,1
00280043,28,43,1
00090048,9,48,0
00440018,44,18,1
00170025,17,25,1
00300048,30,48,1
00380019,38,19,1
00460030,46,30,1
00340014,34,14,1
00410011,41,11,1
00010008,1,8,1
00230043,23,43,1
00130016,13,16,1
00300037,30,37,0
00210002,21,2,1
00070023,7,23,1
00120034,12,34,1
00370040,37,40,1
00280000,28,0,1
00340043,34,43,1
00110021,11,21,1
00390010,39,10,1
00370003,37,3,1
00130030,13,30,1
00140002,14,2,1
00230029,23,29,1
00320033,32,33,1
00480031,48,31,1
00490041,49,41,1
00000001,0,1,1
00210008,21,8,1
00070040,7,40,1
00080022,8,22,1
00350049,35,49,1
00320010,32,10,1
00380046,38,46,1
00440006,44,6,1
00420000,42,0,1
00370047,37,47,1
00210040,21,40,1
00470048,47,48,1
00350031,35,31,1
00100048,10,48,1
00130012,13,12,1
00210028,21,28,1
00240047,24,47,1
00290044,29,44,1
00060009,6,9,1
00140010,14,10,1
00050007,5,7,1
00070045,7,45,1
00120018,12,18,1
00310045,31,45,1
00020025,2,25,1
00020044,2,44,1
00120038,12,38,1
00090022,9,22,1
00200034,20,34,1
00170003,17,3,1
00250047,25,47,1
00350029,35,29,1
00410042,41,42,1
00270015,27,15,1
00120027,12,27,1
00310012,31,12,1
00130048,13,48,1
00420010,42,10,1
00460047,46,47,1
00100026,10,26,1
00140018,14,18,1
00290011,29,11,1
00130019,13,19,0
00280028,28,28,1
00310017,31,17,1
00130049,13,49,1
00210032,21,32,1
00340017,34,17,1
00020006,2,6,1
00340009,34,9,1
00270019,27,19,1
00120047,12,47,1
00450011,45,11,1
00150004,15,4,1
00390033,39,33,1
00300005,30,5,1
00250017,25,17,1
00180047,18,47,0
00120040,12,40,1
00200001,20,1,1
00170007,17,7,1
00030017,3,17,1
00150024,15,24,1
00200039,20,39,1
00240027,24,27,1
00090036,9,36,1
00300024,30,24,1
00070034,7,34,1
00020004,2,4,1
00010034,1,34,1
00150022,15,22,1
00220014,22,14,1
00250007,25,7,1
00110004,11,4,1
00090024,9,24,1
00440017,44,17,1
00470002,47,2,1
00200023,20,23,1
00390011,39,11,1
00320007,32,7,1
00240040,24,40,1
00480037,48,37,1
00310043,31,43,1
00280035,28,35,1
00280037,28,37,1
00170015,17,15,1
00420014,42,14,1
00130036,13,36,1
00360003,36,3,1
00030041,3,41,1
